Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.2338018391927084,0.1422125975837724,0.37711085582859105,8.10032862817403
Bio Aubergine 1 Stück,0.08995022630691508,0.03290913522665094,0.18140875179177807,7.4803221027544735
Blumenkohl weiß 1 Stück,0.2898563353220626,0.0923338602991018,0.3038648717754354,7.8801461709024885
Blumenkohl/Broccoli 500g,0.015218450546264606,0.0003396729969354932,0.018430219665958765,0.4360587549072952
Broccoli 500g,0.01623882166544618,0.0006153670648833559,0.0248065931736576,0.9289261362485072
Eisbergsalat 1 Stück,0.05342041571935017,0.004004262021706667,0.06327923847287249,4.247193971399949
Galiamelone 1 Stück,0.14613309208552044,0.09855926865224016,0.3139415051442548,7.864654261881397
Karotten 1kg,0.12855131371815995,0.03925907629800616,0.19813903274722566,15.886846598573035
"Kartoffeln vorwiegend festkochend 2,5kg",0.13641689634323118,0.02867441584492984,0.16933521737940352,7.7203491383110086
Mango vorgereift 1 Stück,0.2525159425735473,0.07507029398166692,0.27398958735993406,27.235507060712006
Meggle Feine Butter 250g,0.2594585170745848,0.10143713568001239,0.3184919711390106,8.40518149615933
Orangen 2kg im Netz,0.2119391469955443,0.0702441513693021,0.26503613219578587,8.444163915764332
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.052079168955484964,0.006804928105918472,0.08249198813168751,0.900186413309983
REWE Bio Eisbergsalat 1 Stück,0.023010967572530325,0.0005295046286258737,0.02301096757257012,0.9241352438767197
REWE Bio Zucchini 500g,0.3131193119684853,0.24792917059407923,0.4979248644063472,16.64604668029893
REWE Regional Blumenkohl/Broccoli 500g,0.04436903508504244,0.0019910023598549557,0.04462064947818393,1.2805904909656773
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.011795168876648028,0.0005970168029036812,0.024433927291855503,0.439419237766239
Rispentomaten ca. 100g,0.0023872266213099164,6.516773478330388e-06,0.002552797187073503,0.9548906485239665
Spitzkohl ca. 1kg,0.1151006479263305,0.03776329351465267,0.19432779912985346,5.352340139089132
Tafeltrauben hell kernlos 500g,0.21097051763534552,0.08903786295132561,0.29839212950633537,8.854304000225675
UNSER LAND Bio Karotten 1kg,8.583068833445395e-08,7.366907059966167e-15,8.583068833445394e-08,3.3139261905194596e-06
Zitronen 500g im Netz,0.08002570001284287,0.009817531495697926,0.09908345722519944,8.79833903706033
Zwiebeln 2kg im Netz,0.0988278501828512,0.022990958461888054,0.1516276968824893,6.778468387490129
ja! Basmati Reis 1kg,0.010453233718871857,0.00010927009518135957,0.010453233718871857,0.34960647889203533
"ja! H-Milch 3,5% 1l",0.007080087661743129,0.00014054976324850684,0.011855368541235098,0.6521450874325248
ja! Sonnenblumenmargarine 500g,9.536743172944284e-09,9.09494703466994e-17,9.536743172944284e-09,6.400498773788111e-07
ja! Sonnenblumenöl 1l,0.010867986679077069,0.00011811313445659659,0.010867986679077067,0.6835211747847212
