Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.4688461096863699,0.3279787494156325,0.5726942896656404,15.334623345787726
Bio Aubergine 1 Stück,0.09752422798227124,0.03188265396545272,0.17855714481771018,8.051229174796784
Blumenkohl weiß 1 Stück,0.19076240697684574,0.06433060698646091,0.2536347905679757,5.278194667186082
Blumenkohl/Broccoli 500g,0.009407660310848371,0.00017460673054310114,0.013213884006721912,0.26956046735955225
Broccoli 500g,0.1731519490774681,0.034914133384403655,0.18685324022987573,10.134302156075856
Eisbergsalat 1 Stück,0.096241296535016,0.017631618686467742,0.13278410554907444,7.9263776536792285
Galiamelone 1 Stück,0.36848005457558713,0.16793380876522776,0.4097972776449689,14.240837709544547
Karotten 1kg,0.22014939498602312,0.07236055193318404,0.26899916716076283,21.85144095688861
"Kartoffeln vorwiegend festkochend 2,5kg",0.19825493389739168,0.06711593326113312,0.25906742995045345,11.470765008445024
Mango vorgereift 1 Stück,0.34200773676416746,0.15333420375796317,0.39157911557942304,31.06103946154437
Meggle Feine Butter 250g,0.5966338159366733,0.6084308354936265,0.7800197660916206,19.416066961123708
Orangen 2kg im Netz,0.28531636551431905,0.10769373330485323,0.32816723374653545,11.283608886983226
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.07140445797742648,0.0068637236833322245,0.08284759310524491,1.26128655789817
REWE Bio Eisbergsalat 1 Stück,0.12313586102823779,0.02305045194551306,0.1518237529028744,4.945215302338865
REWE Bio Zucchini 500g,0.6419586774810728,0.6725525987449876,0.8200930427366078,31.84612253902347
REWE Regional Blumenkohl/Broccoli 500g,0.10303319112984018,0.010740432067705231,0.10363605582858329,2.973609497480234
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.03488372980947315,0.0015575887154904331,0.03946629847718726,1.327579497442697
Rispentomaten ca. 100g,0.019719831718542857,0.0007318655301986419,0.02705301332936207,7.887932687417143
Spitzkohl ca. 1kg,0.2479466087641063,0.14353307510047417,0.3788575921114346,11.534760972515693
Tafeltrauben hell kernlos 500g,0.5034571688657323,0.40936877903481206,0.6398193331205396,24.176393287688537
UNSER LAND Bio Karotten 1kg,0.0,0.0,0.0,0.0
Zitronen 500g im Netz,0.1036868351794908,0.013950176923443355,0.1181108670844616,10.019163555664035
Zwiebeln 2kg im Netz,0.17307554839834516,0.05018275077495355,0.22401506818728412,11.48843172053154
ja! Basmati Reis 1kg,0.10693531641518493,0.012985405157994477,0.11395352192009897,3.5764319871299315
"ja! H-Milch 3,5% 1l",0.011197296631714544,0.00015069421450486755,0.01227575718662061,1.0385411400023037
ja! Sonnenblumenmargarine 500g,0.0,0.0,0.0,0.0
ja! Sonnenblumenöl 1l,0.0076204222786997455,0.00010207217166188025,0.01010307733623178,0.479271841427657
