Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.3307425241470336,0.1675994611358204,0.409389131677699,10.895751120892932
Bio Aubergine 1 Stück,0.08314899969100935,0.032588364650701494,0.18052247685731962,6.946168884867925
Blumenkohl weiß 1 Stück,0.33787308216095024,0.1276998565450217,0.3573511669842729,9.203845839928395
Blumenkohl/Broccoli 500g,0.006144337018330977,0.00014079668058534315,0.011865777706722098,0.17605550195790765
Broccoli 500g,0.03799699624379456,0.0023661298787763674,0.04864288106985818,2.1793721604987866
Eisbergsalat 1 Stück,0.043218405246734606,0.002768492552032721,0.05261646654834132,3.45021944166335
Galiamelone 1 Stück,0.2466515986124673,0.17832303473640024,0.4222831215386192,12.669534766387223
Karotten 1kg,0.11062357934315997,0.03946965320467114,0.19866970882515317,14.586302269024367
"Kartoffeln vorwiegend festkochend 2,5kg",0.190697017510732,0.05674886565784607,0.2382202041344228,11.128083704438078
Mango vorgereift 1 Stück,0.2869712856610616,0.11495984175257208,0.33905728388072137,33.7541910148294
Meggle Feine Butter 250g,0.32432029946645086,0.15788409221243407,0.3973463126951527,10.926717851237104
Orangen 2kg im Netz,0.24350312296549467,0.0884124325960559,0.2973422818841207,9.668222352679384
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.04683753013610848,0.006320329460156004,0.07950049974783809,0.8095962155061629
REWE Bio Eisbergsalat 1 Stück,0.007728090286255096,5.972337947251036e-05,0.007728090286255095,0.3103650717371524
REWE Bio Zucchini 500g,0.3608271547953288,0.28624259390020423,0.5350164426447137,19.112470531780872
REWE Regional Blumenkohl/Broccoli 500g,0.0659676125844321,0.005439428384120519,0.07375248052859319,1.8927370797044434
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.01979402923583991,0.0011751227728260946,0.03428006378095138,0.7380124245989986
Rispentomaten ca. 100g,0.0006762474775314331,5.402047846825297e-07,0.0007349862479547013,0.27049899101257324
Spitzkohl ca. 1kg,0.134670282681783,0.0634694456264193,0.25193143040601207,6.529362533279158
Tafeltrauben hell kernlos 500g,0.30757541243235276,0.12492038731572769,0.35344078332264894,13.153609975659444
UNSER LAND Bio Karotten 1kg,8.583068833445395e-08,7.366907059966167e-15,8.583068833445394e-08,3.3139261905194596e-06
Zitronen 500g im Netz,0.06810230739911403,0.01301104045803222,0.11406594784611321,8.124586618657741
Zwiebeln 2kg im Netz,0.1599016699790955,0.052251960703356505,0.22858687780219691,11.07287115004412
ja! Basmati Reis 1kg,0.02020287672678608,0.0004081562280395464,0.020202876726831416,0.6756814958791333
"ja! H-Milch 3,5% 1l",0.011786808967590323,0.00025106429848902344,0.015845008630134078,1.0829223801132466
ja! Sonnenblumenmargarine 500g,9.536743172944284e-09,9.09494703466994e-17,9.536743172944284e-09,6.400498773788111e-07
ja! Sonnenblumenöl 1l,0.0025783443450928534,6.647859561872294e-06,0.002578344345092853,0.16216002170395308
