Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.2822818560731013,0.2441672602826509,0.49413283667719443,10.402461891830045
Bio Aubergine 1 Stück,0.08958760597718943,0.03229784631055211,0.17971601573190996,7.516163159320202
Blumenkohl weiß 1 Stück,0.3505426007869382,0.12938257924895893,0.35969789997852214,9.514126085863824
Blumenkohl/Broccoli 500g,0.11999996811310767,0.01999998920629599,0.14142131807579786,3.4383945018082436
Broccoli 500g,0.06234802554878827,0.006607132721097091,0.08128427105594963,3.57134442221453
Eisbergsalat 1 Stück,0.05312547436251783,0.00432470594960013,0.0657624965280374,4.184297527216697
Galiamelone 1 Stück,0.38099837577345685,0.3722457587942147,0.6101194627236658,20.164167270619135
Karotten 1kg,0.11068245928777243,0.050626861782657476,0.22500413725675686,15.414874492460823
"Kartoffeln vorwiegend festkochend 2,5kg",0.19337409640024636,0.05814952058480191,0.24114211698664734,11.236360667832669
Mango vorgereift 1 Stück,0.29010672086546896,0.13062795915044437,0.36142490112116565,35.56082938710162
Meggle Feine Butter 250g,0.30426011539929404,0.19283951830470294,0.43913496593268786,10.743255290603502
Orangen 2kg im Netz,0.28576123161897676,0.1300506459163114,0.3606253539565839,11.50942286369823
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.09333333333333342,0.018666666666666703,0.13662601021279477,1.6119746689694892
REWE Bio Eisbergsalat 1 Stück,0.013555349326079187,0.0002595721893795539,0.016111244190923118,0.5443915391999675
REWE Bio Zucchini 500g,0.3429856968503017,0.3905680653092099,0.6249544505875687,20.098080422741734
REWE Regional Blumenkohl/Broccoli 500g,0.02666666666666669,0.0026666666666666713,0.051639777949432274,0.7866273352999023
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.04666666666666671,0.004666666666666676,0.06831300510639739,1.7348203221809182
Rispentomaten ca. 100g,0.001837675587980712,4.479739826376652e-06,0.002116539587717804,0.7350702351922849
Spitzkohl ca. 1kg,0.1830554239311813,0.11985823070106559,0.3462054746838438,8.98650167741384
Tafeltrauben hell kernlos 500g,0.4214770306464921,0.19194340278937988,0.4381134588087655,18.22347100721256
UNSER LAND Bio Karotten 1kg,0.0,0.0,0.0,0.0
Zitronen 500g im Netz,0.07852474822934447,0.020527278938053842,0.14327344114682888,9.601393270518956
Zwiebeln 2kg im Netz,0.24616904325872557,0.14277468244834673,0.37785537239577094,17.58693066650633
ja! Basmati Reis 1kg,0.007073557047116053,7.039403255786908e-05,0.008390115169523545,0.23657381428481777
"ja! H-Milch 3,5% 1l",0.030986663851114794,0.0012003592885205775,0.034646201646364894,2.8428131973500044
ja! Sonnenblumenmargarine 500g,0.0,0.0,0.0,0.0
ja! Sonnenblumenöl 1l,0.00837583371839085,7.868219403320483e-05,0.008870298418497815,0.5267819948673489
