Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.04812399673461911,0.029935771182081686,0.17301956878365432,1.6751897832323484
Bio Aubergine 1 Stück,0.01138742907842003,0.0029700713616248203,0.054498361091181634,1.1148416320451529
Blumenkohl weiß 1 Stück,0.0012027762730916732,3.87267942716499e-06,0.0019679124541414415,0.03251179005880681
Blumenkohl/Broccoli 500g,8.58402252195134e-05,7.368544265736785e-09,8.58402252195134e-05,0.002459605307149381
Broccoli 500g,0.004559911886851017,0.00031758484838838227,0.01782091042535095,0.2586325699281634
Eisbergsalat 1 Stück,0.0007759218215942425,1.6105837298634468e-06,0.001269087754989168,0.06147892366979678
Galiamelone 1 Stück,0.050218659877777176,0.03902391583221536,0.19754471856320371,2.503276730142782
Karotten 1kg,0.02087302803993225,0.006484496209995061,0.08052636965612607,2.9997683077613866
"Kartoffeln vorwiegend festkochend 2,5kg",0.0024602444966633995,1.909588056199326e-05,0.004369883357939117,0.13394071664785148
Mango vorgereift 1 Stück,0.0008057796160380197,1.521914821427104e-06,0.0012336591188116368,0.08257394486333533
Meggle Feine Butter 250g,0.019275879542032883,0.010059640669882956,0.10029776004419519,0.7683151486710557
Orangen 2kg im Netz,0.0011876452763875573,3.821498575249955e-06,0.0019548653598777475,0.04291652247173407
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.006853828430175834,0.0013265542985496717,0.03642189312144101,0.11842645380483113
REWE Bio Eisbergsalat 1 Stück,0.00972913742065451,9.46561149499799e-05,0.00972913742065451,0.3907284104680526
REWE Bio Zucchini 500g,0.0010993404388428033,3.653316246520012e-06,0.0019113650217894049,0.04699148089350704
REWE Regional Blumenkohl/Broccoli 500g,0.006370803833007936,0.0003188662744064161,0.01785682710915957,0.18529691292942208
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.0034850056966145627,0.00033162414690280723,0.018210550428331574,0.12961654724044225
Rispentomaten ca. 100g,2.6703874270121256e-05,3.964141104262353e-09,6.296142552597068e-05,0.010681549708048502
Spitzkohl ca. 1kg,0.0009258197148640661,3.6649967100249695e-06,0.0019144181126454507,0.04136763743455287
Tafeltrauben hell kernlos 500g,0.0006048533121744729,1.4709203107259063e-06,0.0012128150356612117,0.02796919221074368
UNSER LAND Bio Karotten 1kg,8.583068833445395e-08,7.366907059966167e-15,8.583068833445394e-08,3.3139261905194596e-06
Zitronen 500g im Netz,0.0170453573862712,0.0025042396006978588,0.050042378047989076,1.8665361072334667
Zwiebeln 2kg im Netz,0.001004503250122098,4.9310670262078514e-06,0.00222060060033493,0.0654638314946578
ja! Basmati Reis 1kg,0.0015709304809572444,2.4678225760005595e-06,0.0015709304809572444,0.052539480968469686
"ja! H-Milch 3,5% 1l",0.0001233482360840643,1.5214787345050067e-08,0.0001233482360840643,0.011316351934317823
ja! Sonnenblumenmargarine 500g,9.536743172944284e-09,9.09494703466994e-17,9.536743172944284e-09,6.400498773788111e-07
ja! Sonnenblumenöl 1l,1.7251968383869e-05,2.976304131180156e-10,1.7251968383869002e-05,0.0010850294581049682
